conc,rain_setting,exp,rep,Attribute,Value
0.1,1,1,1,cloudy,0.099986095
0.1,1,1,1,umbrella,0.099986095
0.1,1,1,1,em_tskew,0.099986095
0.1,1,1,1,em_t,0.099986095
0.1,1,1,2,cloudy,0.099986095
0.1,1,1,2,umbrella,0.100041354
0.1,1,1,2,em_tskew,0.099986095
0.1,1,1,2,em_t,0.099986095
0.1,1,1,3,cloudy,0.099986095
0.1,1,1,3,umbrella,0.099986095
0.1,1,1,3,em_tskew,0.099986095
0.1,1,1,3,em_t,0.099986095
0.1,1,2,1,cloudy,0.099986095
0.1,1,2,1,umbrella,0.099986095
0.1,1,2,1,em_tskew,0.099986095
0.1,1,2,1,em_t,0.099986095
0.1,1,2,2,cloudy,0.099986095
0.1,1,2,2,umbrella,0.100041354
0.1,1,2,2,em_tskew,0.099986095
0.1,1,2,2,em_t,0.099986095
0.1,1,2,3,cloudy,0.099986095
0.1,1,2,3,umbrella,0.100096617
0.1,1,2,3,em_tskew,0.099986095
0.1,1,2,3,em_t,0.099986095
0.1,1,3,1,cloudy,0.099986095
0.1,1,3,1,umbrella,0.099986095
0.1,1,3,1,em_tskew,0.099986095
0.1,1,3,1,em_t,0.099986095
0.1,1,3,2,cloudy,0.099986095
0.1,1,3,2,umbrella,0.099986095
0.1,1,3,2,em_tskew,0.099986095
0.1,1,3,2,em_t,0.099986095
0.1,1,3,3,cloudy,0.099986095
0.1,1,3,3,umbrella,0.100317697
0.1,1,3,3,em_tskew,0.099986095
0.1,1,3,3,em_t,0.099986095
0.1,1,4,1,cloudy,0.099986095
0.1,1,4,1,umbrella,0.099986095
0.1,1,4,1,em_tskew,0.099986095
0.1,1,4,1,em_t,0.099986095
0.1,1,4,2,cloudy,0.099986095
0.1,1,4,2,umbrella,0.100041354
0.1,1,4,2,em_tskew,0.099986095
0.1,1,4,2,em_t,0.099986095
0.1,1,4,3,cloudy,0.099986095
0.1,1,4,3,umbrella,0.099986095
0.1,1,4,3,em_tskew,0.099986095
0.1,1,4,3,em_t,0.099986095
0.1,1,5,1,cloudy,0.099986095
0.1,1,5,1,umbrella,0.099986095
0.1,1,5,1,em_tskew,0.099986095
0.1,1,5,1,em_t,0.099986095
0.1,1,5,2,cloudy,0.099986095
0.1,1,5,2,umbrella,0.099986095
0.1,1,5,2,em_tskew,0.099986095
0.1,1,5,2,em_t,0.099986095
0.1,1,5,3,cloudy,0.099986095
0.1,1,5,3,umbrella,0.099986095
0.1,1,5,3,em_tskew,0.099986095
0.1,1,5,3,em_t,0.099986095
0.1,2,1,1,cloudy,0.097116811
0.1,2,1,1,umbrella,0.099930839
0.1,2,1,1,em_tskew,0.09943367
0.1,2,1,1,em_t,0.099378444
0.1,2,1,2,cloudy,0.098495247
0.1,2,1,2,umbrella,0.099820335
0.1,2,1,2,em_tskew,0.099102361
0.1,2,1,2,em_t,0.099047154
0.1,2,1,3,cloudy,0.095795297
0.1,2,1,3,umbrella,0.099654603
0.1,2,1,3,em_tskew,0.099378444
0.1,2,1,3,em_t,0.099212785
0.1,2,2,1,cloudy,0.099323221
0.1,2,2,1,umbrella,0.100041354
0.1,2,2,1,em_tskew,0.09943367
0.1,2,2,1,em_t,0.099323221
0.1,2,2,2,cloudy,0.098164249
0.1,2,2,2,umbrella,0.100317697
0.1,2,2,2,em_tskew,0.099157572
0.1,2,2,2,em_t,0.099102361
0.1,2,2,3,cloudy,0.097282123
0.1,2,2,3,umbrella,0.101755909
0.1,2,2,3,em_tskew,0.098936748
0.1,2,2,3,em_t,0.098936748
0.1,2,3,1,cloudy,#NUM!
0.1,2,3,1,umbrella,0
0.1,2,3,1,em_tskew,0.000250094
0.1,2,3,1,em_t,2.147470351
0.1,2,3,2,cloudy,#NUM!
0.1,2,3,2,umbrella,0
0.1,2,3,2,em_tskew,0
0.1,2,3,2,em_t,1.95167819
0.1,2,3,3,cloudy,#NUM!
0.1,2,3,3,umbrella,0
0.1,2,3,3,em_tskew,6.684361696
0.1,2,3,3,em_t,2.834214095
0.1,2,4,1,cloudy,0.09629066
0.1,2,4,1,umbrella,0.099654603
0.1,2,4,1,em_tskew,0.099157572
0.1,2,4,1,em_t,0.099102361
0.1,2,4,2,cloudy,0.098219408
0.1,2,4,2,umbrella,0.099820335
0.1,2,4,2,em_tskew,0.09954413
0.1,2,4,2,em_t,0.099488899
0.1,2,4,3,cloudy,0.098219408
0.1,2,4,3,umbrella,0.099820335
0.1,2,4,3,em_tskew,0.099323221
0.1,2,4,3,em_t,0.099323221
0.1,2,5,1,cloudy,0.098440073
0.1,2,5,1,umbrella,0.09943367
0.1,2,5,1,em_tskew,0.09943367
0.1,2,5,1,em_t,0.09943367
0.1,2,5,2,cloudy,0.096896437
0.1,2,5,2,umbrella,0.099820335
0.1,2,5,2,em_tskew,0.099268002
0.1,2,5,2,em_t,0.099212785
0.1,2,5,3,cloudy,0.09954413
0.1,2,5,3,umbrella,0.09954413
0.1,2,5,3,em_tskew,0.09943367
0.1,2,5,3,em_t,0.09943367
0.1,3,1,1,cloudy,0.091512401
0.1,3,1,1,umbrella,0.102697398
0.1,3,1,1,em_tskew,0.097061713
0.1,3,1,1,em_t,0.097227016
0.1,3,1,2,cloudy,0.082621029
0.1,3,1,2,umbrella,0.09805394
0.1,3,1,2,em_tskew,0.095850326
0.1,3,1,2,em_t,0.0965109
0.1,3,1,3,cloudy,0.092883127
0.1,3,1,3,umbrella,0.098771162
0.1,3,1,3,em_tskew,0.096180558
0.1,3,1,3,em_t,0.096786269
0.1,3,2,1,cloudy,0.086211697
0.1,3,2,1,umbrella,0.101534511
0.1,3,2,1,em_tskew,0.096841351
0.1,3,2,1,em_t,0.097392346
0.1,3,2,2,cloudy,0.08349031
0.1,3,2,2,umbrella,0.102254234
0.1,3,2,2,em_tskew,0.096786269
0.1,3,2,2,em_t,0.096896437
0.1,3,2,3,cloudy,0.081969563
0.1,3,2,3,umbrella,0.099102361
0.1,3,2,3,em_tskew,0.096400774
0.1,3,2,3,em_t,0.097447462
0.1,3,3,1,cloudy,0.080451124
0.1,3,3,1,umbrella,0.101866626
0.1,3,3,1,em_tskew,0.096841351
0.1,3,3,1,em_t,0.097447462
0.1,3,3,2,cloudy,0.09530018
0.1,3,3,2,umbrella,0.096786269
0.1,3,3,2,em_tskew,0.096896437
0.1,3,3,2,em_t,0.097282123
0.1,3,3,3,cloudy,0.083272919
0.1,3,3,3,umbrella,0.098715973
0.1,3,3,3,em_tskew,0.096455836
0.1,3,3,3,em_t,0.096565968
0.1,3,4,1,cloudy,0.084523565
0.1,3,4,1,umbrella,0.097667957
0.1,3,4,1,em_tskew,0.096455836
0.1,3,4,1,em_t,0.096676112
0.1,3,4,2,cloudy,0.093926138
0.1,3,4,2,umbrella,0.099212785
0.1,3,4,2,em_tskew,0.09629066
0.1,3,4,2,em_t,0.096565968
0.1,3,4,3,cloudy,0.08349031
0.1,3,4,3,umbrella,0.105027238
0.1,3,4,3,em_tskew,0.097006618
0.1,3,4,3,em_t,0.097171912
0.1,3,5,1,cloudy,0.080288571
0.1,3,5,1,umbrella,0.101755909
0.1,3,5,1,em_tskew,0.096841351
0.1,3,5,1,em_t,0.097171912
0.1,3,5,2,cloudy,0.090526639
0.1,3,5,2,umbrella,0.099157572
0.1,3,5,2,em_tskew,0.096235608
0.1,3,5,2,em_t,0.096565968
0.1,3,5,3,cloudy,0.093541744
0.1,3,5,3,umbrella,0.100262422
0.1,3,5,3,em_tskew,0.096345716
0.1,3,5,3,em_t,0.096841351
0.1,4,1,1,cloudy,0.088121083
0.1,4,1,1,umbrella,0.099930839
0.1,4,1,1,em_tskew,0.091128933
0.1,4,1,1,em_t,0.092499134
0.1,4,1,2,cloudy,0.08213239
0.1,4,1,2,umbrella,0.101700555
0.1,4,1,2,em_tskew,0.089924708
0.1,4,1,2,em_t,0.091731591
0.1,4,1,3,cloudy,0.080126044
0.1,4,1,3,umbrella,0.095795297
0.1,4,1,3,em_tskew,0.090855118
0.1,4,1,3,em_t,0.09145761
0.1,4,2,1,cloudy,0.072355662
0.1,4,2,1,umbrella,0.098495247
0.1,4,2,1,em_tskew,0.089432487
0.1,4,2,1,em_t,0.090745613
0.1,4,2,2,cloudy,0.087084107
0.1,4,2,2,umbrella,0.096731189
0.1,4,2,2,em_tskew,0.090471903
0.1,4,2,2,em_t,0.091841204
0.1,4,2,3,cloudy,0.068385913
0.1,4,2,3,umbrella,0.094365626
0.1,4,2,3,em_tskew,0.092170115
0.1,4,2,3,em_t,0.093157498
0.1,4,3,1,cloudy,0.076179347
0.1,4,3,1,umbrella,0.0927734
0.1,4,3,1,em_tskew,0.091019398
0.1,4,3,1,em_t,0.091950829
0.1,4,3,2,cloudy,0.072947108
0.1,4,3,2,umbrella,0.093541744
0.1,4,3,2,em_tskew,0.090855118
0.1,4,3,2,em_t,0.091731591
0.1,4,3,3,cloudy,0.07015426
0.1,4,3,3,umbrella,0.099765088
0.1,4,3,3,em_tskew,0.090252989
0.1,4,3,3,em_t,0.090964635
0.1,4,4,1,cloudy,0.086320706
0.1,4,4,1,umbrella,0.096400774
0.1,4,4,1,em_tskew,0.089760607
0.1,4,4,1,em_t,0.090745613
0.1,4,4,2,cloudy,0.088503399
0.1,4,4,2,umbrella,0.093431945
0.1,4,4,2,em_tskew,0.091128933
0.1,4,4,2,em_t,0.093212382
0.1,4,4,3,cloudy,0.074669668
0.1,4,4,3,umbrella,0.094200795
0.1,4,4,3,em_tskew,0.089323138
0.1,4,4,3,em_t,0.089815304
0.1,4,5,1,cloudy,0.07197947
0.1,4,5,1,umbrella,0.098936748
0.1,4,5,1,em_tskew,0.09036244
0.1,4,5,1,em_t,0.09244429
0.1,4,5,2,cloudy,0.068600091
0.1,4,5,2,umbrella,0.097723089
0.1,4,5,2,em_tskew,0.090526639
0.1,4,5,2,em_t,0.09162199
0.1,4,5,3,cloudy,0.084251552
0.1,4,5,3,umbrella,0.099654603
0.1,4,5,3,em_tskew,0.092115289
0.1,4,5,3,em_t,0.09376138
0.4,1,1,1,cloudy,0.400029906
0.4,1,1,1,umbrella,0.400029906
0.4,1,1,1,em_tskew,0.400029906
0.4,1,1,1,em_t,0.400029906
0.4,1,1,2,cloudy,0.400029906
0.4,1,1,2,umbrella,0.400029906
0.4,1,1,2,em_tskew,0.400029906
0.4,1,1,2,em_t,0.400029906
0.4,1,1,3,cloudy,0.400029906
0.4,1,1,3,umbrella,0.400029906
0.4,1,1,3,em_tskew,0.400029906
0.4,1,1,3,em_t,0.400029906
0.4,1,2,1,cloudy,0.400029906
0.4,1,2,1,umbrella,0.403018104
0.4,1,2,1,em_tskew,0.400029906
0.4,1,2,1,em_t,0.400029906
0.4,1,2,2,cloudy,0.400029906
0.4,1,2,2,umbrella,0.400029906
0.4,1,2,2,em_tskew,0.400029906
0.4,1,2,2,em_t,0.400029906
0.4,1,2,3,cloudy,0.400029906
0.4,1,2,3,umbrella,0.400104502
0.4,1,2,3,em_tskew,0.400029906
0.4,1,2,3,em_t,0.400029906
0.4,1,3,1,cloudy,0.400029906
0.4,1,3,1,umbrella,0.400701472
0.4,1,3,1,em_tskew,0.400029906
0.4,1,3,1,em_t,0.400029906
0.4,1,3,2,cloudy,0.400029906
0.4,1,3,2,umbrella,0.400029906
0.4,1,3,2,em_tskew,0.400029906
0.4,1,3,2,em_t,0.400029906
0.4,1,3,3,cloudy,0.400029906
0.4,1,3,3,umbrella,0.400029906
0.4,1,3,3,em_tskew,0.400029906
0.4,1,3,3,em_t,0.400029906
0.4,1,4,1,cloudy,0.400029906
0.4,1,4,1,umbrella,0.400029906
0.4,1,4,1,em_tskew,0.400029906
0.4,1,4,1,em_t,0.400029906
0.4,1,4,2,cloudy,0.400029906
0.4,1,4,2,umbrella,0.400029906
0.4,1,4,2,em_tskew,0.400029906
0.4,1,4,2,em_t,0.400029906
0.4,1,4,3,cloudy,0.400029906
0.4,1,4,3,umbrella,0.400029906
0.4,1,4,3,em_tskew,0.400029906
0.4,1,4,3,em_t,0.400029906
0.4,1,5,1,cloudy,0.400029906
0.4,1,5,1,umbrella,0.400029906
0.4,1,5,1,em_tskew,0.400029906
0.4,1,5,1,em_t,0.400029906
0.4,1,5,2,cloudy,0.400029906
0.4,1,5,2,umbrella,0.400029906
0.4,1,5,2,em_tskew,0.400029906
0.4,1,5,2,em_t,0.400029906
0.4,1,5,3,cloudy,0.400029906
0.4,1,5,3,umbrella,0.400104502
0.4,1,5,3,em_tskew,0.400029906
0.4,1,5,3,em_t,0.400029906
0.4,2,1,1,cloudy,0.394747745
0.4,2,1,1,umbrella,0.403841427
0.4,2,1,1,em_tskew,0.397124984
0.4,2,1,1,em_t,0.396753168
0.4,2,1,2,cloudy,0.392450171
0.4,2,1,2,umbrella,0.399657008
0.4,2,1,2,em_tskew,0.396455814
0.4,2,1,2,em_t,0.395861372
0.4,2,1,3,cloudy,0.394821948
0.4,2,1,3,umbrella,0.398539148
0.4,2,1,3,em_tskew,0.397571346
0.4,2,1,3,em_t,0.397273749
0.4,2,2,1,cloudy,0.394006015
0.4,2,2,1,umbrella,0.398539148
0.4,2,2,1,em_tskew,0.397422536
0.4,2,2,1,em_t,0.396381489
0.4,2,2,2,cloudy,0.392450171
0.4,2,2,2,umbrella,0.399507888
0.4,2,2,2,em_tskew,0.398092354
0.4,2,2,2,em_t,0.397199364
0.4,2,2,3,cloudy,0.392228105
0.4,2,2,3,umbrella,0.397720178
0.4,2,2,3,em_tskew,0.39682752
0.4,2,2,3,em_t,0.395861372
0.4,2,3,1,cloudy,0.393931872
0.4,2,3,1,umbrella,0.400626831
0.4,2,3,1,em_tskew,0.397496938
0.4,2,3,1,em_t,0.39682752
0.4,2,3,2,cloudy,0.394080163
0.4,2,3,2,umbrella,0.398092354
0.4,2,3,2,em_tskew,0.396678821
0.4,2,3,2,em_t,0.396381489
0.4,2,3,3,cloudy,0.393635356
0.4,2,3,3,umbrella,0.399507888
0.4,2,3,3,em_tskew,0.397794602
0.4,2,3,3,em_t,0.396455814
0.4,2,4,1,cloudy,0.392894451
0.4,2,4,1,umbrella,0.398166806
0.4,2,4,1,em_tskew,0.397124984
0.4,2,4,1,em_t,0.39630717
0.4,2,4,2,cloudy,0.394154317
0.4,2,4,2,umbrella,0.398837122
0.4,2,4,2,em_tskew,0.397422536
0.4,2,4,2,em_t,0.39660448
0.4,2,4,3,cloudy,0.394376811
0.4,2,4,3,umbrella,0.399284249
0.4,2,4,3,em_tskew,0.397720178
0.4,2,4,3,em_t,0.39682752
0.4,2,5,1,cloudy,0.392968517
0.4,2,5,1,umbrella,0.402943291
0.4,2,5,1,em_tskew,0.39682752
0.4,2,5,1,em_t,0.396084246
0.4,2,5,2,cloudy,0.393487131
0.4,2,5,2,umbrella,0.400925428
0.4,2,5,2,em_tskew,0.39705061
0.4,2,5,2,em_t,0.39630717
0.4,2,5,3,cloudy,0.393931872
0.4,2,5,3,umbrella,0.39906066
0.4,2,5,3,em_tskew,0.397422536
0.4,2,5,3,em_t,0.396678821
0.4,3,1,1,cloudy,0.372151229
0.4,3,1,1,umbrella,0.392228105
0.4,3,1,1,em_tskew,0.388386777
0.4,3,1,1,em_t,0.389345726
0.4,3,1,2,cloudy,0.365355367
0.4,3,1,2,umbrella,0.395638547
0.4,3,1,2,em_tskew,0.386913263
0.4,3,1,2,em_t,0.389493339
0.4,3,1,3,cloudy,0.371281096
0.4,3,1,3,umbrella,0.397720178
0.4,3,1,3,em_tskew,0.38941953
0.4,3,1,3,em_t,0.391340334
0.4,3,2,1,cloudy,0.37258658
0.4,3,2,1,umbrella,0.395787092
0.4,3,2,1,em_tskew,0.388607991
0.4,3,2,1,em_t,0.390527236
0.4,3,2,2,cloudy,0.372078689
0.4,3,2,2,umbrella,0.39906066
0.4,3,2,2,em_tskew,0.390379471
0.4,3,2,2,em_t,0.392968517
0.4,3,2,3,cloudy,0.37353049
0.4,3,2,3,umbrella,0.393709477
0.4,3,2,3,em_tskew,0.386250889
0.4,3,2,3,em_t,0.38868174
0.4,3,3,1,cloudy,0.367952584
0.4,3,3,1,umbrella,0.402344981
0.4,3,3,1,em_tskew,0.386692423
0.4,3,3,1,em_t,0.389271928
0.4,3,3,2,cloudy,0.37099122
0.4,3,3,2,umbrella,0.400029906
0.4,3,3,2,em_tskew,0.387134151
0.4,3,3,2,em_t,0.389124349
0.4,3,3,3,cloudy,0.372151229
0.4,3,3,3,umbrella,0.394080163
0.4,3,3,3,em_tskew,0.3878708
0.4,3,3,3,em_t,0.390157864
0.4,3,4,1,cloudy,0.373748442
0.4,3,4,1,umbrella,0.394821948
0.4,3,4,1,em_tskew,0.388829254
0.4,3,4,1,em_t,0.390822831
0.4,3,4,2,cloudy,0.370556564
0.4,3,4,2,umbrella,0.395638547
0.4,3,4,2,em_tskew,0.387723427
0.4,3,4,2,em_t,0.389271928
0.4,3,4,3,cloudy,0.368602943
0.4,3,4,3,umbrella,0.394896157
0.4,3,4,3,em_tskew,0.386324465
0.4,3,4,3,em_t,0.389345726
0.4,3,5,1,cloudy,0.370339306
0.4,3,5,1,umbrella,0.411055706
0.4,3,5,1,em_tskew,0.3880919
0.4,3,5,1,em_t,0.390527236
0.4,3,5,2,cloudy,0.371208619
0.4,3,5,2,umbrella,0.404965233
0.4,3,5,2,em_tskew,0.388755495
0.4,3,5,2,em_t,0.390305596
0.4,3,5,3,cloudy,0.36838611
0.4,3,5,3,umbrella,0.400701472
0.4,3,5,3,em_tskew,0.388386777
0.4,3,5,3,em_t,0.389198136
0.4,4,1,1,cloudy,0.342349474
0.4,4,1,1,umbrella,0.387281438
0.4,4,1,1,em_tskew,0.367374841
0.4,4,1,1,em_t,0.370122096
0.4,4,1,2,cloudy,0.338835026
0.4,4,1,2,umbrella,0.372949516
0.4,4,1,2,em_tskew,0.366436721
0.4,4,1,2,em_t,0.369687817
0.4,4,1,3,cloudy,0.329198753
0.4,4,1,3,umbrella,0.3878708
0.4,4,1,3,em_tskew,0.369036751
0.4,4,1,3,em_t,0.37353049
0.4,4,2,1,cloudy,0.331216074
0.4,4,2,1,umbrella,0.391044585
0.4,4,2,1,em_tskew,0.362118304
0.4,4,2,1,em_t,0.368458382
0.4,4,2,2,cloudy,0.339466716
0.4,4,2,2,umbrella,0.393116665
0.4,4,2,2,em_tskew,0.368892128
0.4,4,2,2,em_t,0.372006154
0.4,4,2,3,cloudy,0.339115728
0.4,4,2,3,umbrella,0.394821948
0.4,4,2,3,em_tskew,0.36607614
0.4,4,2,3,em_t,0.369977315
0.4,4,3,1,cloudy,0.337993393
0.4,4,3,1,umbrella,0.381626519
0.4,4,3,1,em_tskew,0.363627629
0.4,4,3,1,em_t,0.367663671
0.4,4,3,2,cloudy,0.339326306
0.4,4,3,2,umbrella,0.385221402
0.4,4,3,2,em_tskew,0.367735891
0.4,4,3,2,em_t,0.371136148
0.4,4,3,3,cloudy,0.339677368
0.4,4,3,3,umbrella,0.370266897
0.4,4,3,3,em_tskew,0.368024825
0.4,4,3,3,em_t,0.369760183
0.4,4,4,1,cloudy,0.340098805
0.4,4,4,1,umbrella,0.401971219
0.4,4,4,1,em_tskew,0.367663671
0.4,4,4,1,em_t,0.369470748
0.4,4,4,2,cloudy,0.336172282
0.4,4,4,2,umbrella,0.380967637
0.4,4,4,2,em_tskew,0.365787768
0.4,4,4,2,em_t,0.369109071
0.4,4,4,3,cloudy,0.338835026
0.4,4,4,3,umbrella,0.395712817
0.4,4,4,3,em_tskew,0.363987329
0.4,4,4,3,em_t,0.367158274
0.4,4,5,1,cloudy,0.336662255
0.4,4,5,1,umbrella,0.378044513
0.4,4,5,1,em_tskew,0.368458382
0.4,4,5,1,em_t,0.371208619
